"ISO3","Year","Region","country","LandArea","ArablePercent","Population","PopGrowth","RuralPopulation","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","LifeExpectancy","AgeDepRatioOld","CO2Emissions","GDP","GDPPerCapita","GDPPerCapGrowth","Inflation","TotalTrade","Exports","Imports","FDIIn","AgriEmployment","MobileCellSubscriptions","NaturalResourceRents","GovtExpenditures","PublicHealthExpend","PoliticalStability","RuleOfLaw","ControlOfCorruption","IncomeLevel","RuralLevel","UrbanLevel","PopGrowthLevel","EconGrowthLevel","TradeLevel","AgricultureLevel"
"AZE",2019,"Europe & Central Asia","Azerbaijan",82654,25.358724320662,10024283,0.846646726414021,41.8691808022221,58.1308191977779,14.1,1.81,6,73.29,9.49171613914909,3.68923143929596,53599371924.6281,5346.95318604114,1.61582943287135,2.61057182799215,85.8181454084561,49.0506275016423,36.7675179068137,3.12183056112494,35.9495205782749,106.328337689377,23.4349054129318,11.1234709302752,1.06925082,60.1325696,45.389645,32.5706735,"Upper middle income","High","Low","Low","Low","High","High"
"BDI",2019,"Sub-Saharan Africa","Burundi",25680,47.3520249221184,12255336,3.28367531420808,81.213821845813,18.786178154187,36.579,5.271,7,62.18,4.77851062610224,0.0624381085920451,3313977733.08389,270.411005710809,1.08494176938687,-0.686772170797359,NA,NA,NA,1.05451097508345,85.037534800998,53.2995504978403,13.1274376353104,24.4455203896315,2.27763605,37.380141,34.0729983,18.0867463,"Low income","High","Low","High","Low",NA,"High"
"BEL",2019,"Europe & Central Asia","Belgium",30494,28.113268183905,11488980,0.540461327098122,12.9038368810778,87.0961631189222,10.2,1.6,6,81.9951219512195,29.6972645744296,8.73127988733552,494099718080.569,43006.4042308863,1.89071932044187,1.43681956996438,165.46547893199,82.9674275396401,82.4980513923498,-1.97252997818915,1.08145129137307,100.164960666171,0.0422427798272169,22.9562562872188,8.08414745,72.3410456,81.9087179,78.1642118,"High income","Low","High","Low","High","High","Low"
"BEN",2019,"Sub-Saharan Africa","Benin",112760,31.3762185172047,12726755,2.73538842831436,51.2874499409752,48.7125500590248,36.036,4.9,6,59.888,5.60784930683602,0.639872457668903,14179807374.6843,1114.17304526443,3.98211326561793,0.732849371241066,63.68133231423,29.6305271935478,34.0508051206822,1.51620780888962,41.9865160039013,81.3235345537806,2.46799590195586,10.3420632400446,0.45625761,62.5126327,50.1605655,42.9989501,"Lower middle income","High","Low","High","High","Low","High"
"BFA",2019,"Sub-Saharan Africa","Burkina Faso",273600,27.5215540935673,20961952,2.52989803984158,73.8812745598843,26.1187254401157,34.325,4.681,6,60.184,4.83430113076264,0.271887847085997,15030172259.3791,717.021595096634,3.24391866186016,-3.23338933983322,60.4086928753226,29.2576956572794,31.1509972180432,1.0164787373679,51.5701324352258,97.1498646690919,8.32797318460633,20.4999424066528,2.23602796,45.469811,49.9337491,43.7888072,"Low income","High","Low","High","High","Low","High"
"BGD",2019,"South Asia","Bangladesh",130170,60.3595298455865,164913055,0.84641125179804,69.1771603656988,30.8228396343012,20.131,2.18,6,72.625,8.73026000966038,0.662908100271382,257958323968.613,1564.20802445636,6.97264399779152,5.59199639930629,31.5780544912404,13.0947573353039,18.4832971559365,0.543244141585063,40.84013231722,100.399571155843,0.637717563815013,6.2381894055709,0.36105901,48.8682227,40.7531366,25.5760817,"Lower middle income","High","Low","Low","High","Low","High"
"BGR",2019,"Europe & Central Asia","Bulgaria",108560,32.0191599115696,6616726,-1.41171852077109,26.2837677001953,73.7162322998047,9.3,1.79,7,75.1121951219512,33.4917780909335,6.74590424327681,57079683269.2842,8626.5750265742,5.26898074561532,3.10372944796771,125.260415075086,64.300587723502,60.9598273515844,3.24216894514095,6.78847141688132,116.616975862125,0.580269555247755,16.8038894133194,4.2107811,75.7815088,54.5451867,45.3187211,"High income","Low","High","Low","High","High","Low"
"BHR",2019,"Middle East & North Africa","Bahrain",780,2.69230769230769,1483756,-1.29469437720599,0,100,13.318,1.843,6,80.471,3.90723397914868,24.8338675631303,36906448210.9064,24873.6640060134,3.38274086937953,1.00582004702137,135.417543398211,73.0944239873751,62.3231194108364,2.32837980010521,0.963344658136244,129.142743677937,13.3637839937888,14.994212256707,2.20524931,55.5880047,57.0917701,46.1637586,"High income","Low","High","Low","High","High","Low"
"BHS",2019,"Latin America & Caribbean","Bahamas, The",10010,0.799200799200799,394675,0.497339072752345,18.1742536716796,81.8257463283204,11.195,1.397,5,71.408,15.6137157727,3.67517577753848,12281350586.0076,31117.6299132391,-1.33052999956263,2.49123527368046,68.7866234842208,34.9807938540333,33.8058296301875,3.63206527371394,0.911046438061496,107.811997212897,0.0121899442192584,12.6549672365745,2.87397003,77.7277659,63.4525432,72.3987063,"High income","Low","High","Low","Low","Low","Low"
"BIH",2019,"Europe & Central Asia","Bosnia and Herzegovina",51200,19.82421875,3345533,-1.23185506471358,50.5349559962242,49.4650440037758,8.561,1.509,6,77.394,29.4669521066141,6.75452909895075,18679105074.1119,5583.29721276458,4.16109545157208,0.56278215406123,94.516125154246,40.040069270151,54.476055884095,2.18661375097898,19.0404119903467,112.254788698841,0.800756928062343,19.3589709289337,6.13385725,60.6128666,50.2438808,34.9254825,"Upper middle income","High","Low","Low","High","High","High"
