"ISO3","Year","Region","country","LandArea","ArablePercent","Population","PopGrowth","RuralPopulation","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","LifeExpectancy","AgeDepRatioOld","CO2Emissions","GDP","GDPPerCapita","GDPPerCapGrowth","Inflation","TotalTrade","Exports","Imports","FDIIn","AgriEmployment","MobileCellSubscriptions","NaturalResourceRents","GovtExpenditures","PublicHealthExpend","PoliticalStability","RuleOfLaw","ControlOfCorruption","IncomeLevel","RuralLevel","UrbanLevel","PopGrowthLevel","EconGrowthLevel","TradeLevel","AgricultureLevel"
"DOM",2019,"Latin America & Caribbean","Dominican Republic",48198.02,19.2206215110081,10894043,1.0333133463082,26.4596535327067,73.5403464672933,19.43,2.366,6,73.112,10.0542334946613,2.61257459696093,88427452425.8944,8117.04639185786,3.81572682273033,1.81060377042959,50.912982200697,23.325332586795,27.587649613902,3.17366550445317,8.88331377266102,82.1376141070859,1.05544444208182,10.4392552012067,2.66453695,66.7744903,48.7017175,31.6185157,"Upper middle income","Low","High","Low","High","Low","Low"
"DZA",2019,"Middle East & North Africa","Algeria",2381740,3.16197401899452,43294546,1.84041291439333,27.5175438619825,72.4824561380175,23.379,2.997,6,75.682,9.08218314490603,4.19651934911155,202300870247.92,4672.66408678635,-0.939992962004737,1.95176821052892,46.5068426081672,20.407941949491,26.0989006586763,0.713947308015691,10.0053795846248,104.922068012909,18.5236789388593,18.2610260787535,3.27598047,47.7447231,42.4090971,35.2940242,"Upper middle income","Low","High","High","Low","Low","Low"
"ECU",2019,"Latin America & Caribbean","Ecuador",248360,3.9821227250765,17340021,1.68935479627168,36.9372860285362,63.0627139714638,16.924,2.035,6,77.286,11.2697116186031,2.41784020907472,103544017315.435,5971.38938386723,-1.51253154807527,0.266012515466155,48.0828494933307,24.0486345985713,24.0342148947594,0.915058228783613,30.8610652741592,91.4249181128443,5.82070104913459,15.184077301137,4.91185951,62.3101269,45.8024781,37.1801972,"Upper middle income","Low","High","High","Low","Low","High"
"EGY",2019,"Middle East & North Africa","Egypt, Arab Rep.",995450,3.23371339595158,107553158,1.75497438173801,57.5187972667352,42.4812027332648,22.267,2.87,6,71.213,7.44924287915129,2.20383858928624,398080548970.536,3701.2446344954,3.71584088502073,9.15279959324804,41.1240171551108,16.6440314510365,24.4799857040743,2.82732944960686,21.1580259380101,88.6447815879102,5.72496131230483,7.2855611150822,1.29722774,45.4490688,44.0672159,34.6551366,"Lower middle income","High","Low","High","High","Low","High"
"ERI",2019,"Sub-Saharan Africa","Eritrea",121080.546,5.69868589789808,3240194,1.47474580694345,64.7647666931152,35.2352333068848,29.119,3.997,6,67.306,7.40353352761818,0.207888786905969,NA,NA,NA,NA,NA,NA,NA,NA,55.5668739635451,40.4605403256719,NA,NA,0.74166143,49.2154045,27.9012143,19.0348456,"Low income","High","Low","High",NA,NA,"High"
"ESP",2019,"Europe & Central Asia","Spain",499570.036,23.6449621650246,47118501,0.716697775475724,20.3650238891693,79.6349761108307,7.6,1.23,6,83.8317073170732,29.2912365372295,5.3981216422823,1333521400432.69,28301.4393949563,1.23303741249605,0.699518994458648,66.3662250440692,34.6755629292261,31.6906621148431,2.16052375036307,4.11382637552359,116.69612128516,0.0390101070611282,18.6747333912946,6.39903307,70.4560005,75.8206692,64.4581709,"High income","Low","High","Low","Low","Low","Low"
"EST",2019,"Europe & Central Asia","Estonia",42750,16.140350877193,1326898,0.371554389037477,30.4212602337846,69.5787397662154,10.6,1.66,7,78.6463414634147,31.2502367379406,11.6534202327534,27307395871.0676,20579.8756732376,3.3419636171697,2.27725931243522,140.352147998549,72.0191543549198,68.3329936436289,9.76819364646981,3.34008778292046,147.04692867619,1.80772963579084,19.1166337332142,4.94378757,79.9625636,82.8867196,78.6944247,"High income","Low","High","Low","High","High","Low"
"ETH",2019,"Sub-Saharan Africa","Ethiopia",1128570.9,14.3473484917961,115737383,2.69123978261516,78.7513294219971,21.2486705780029,33.549,4.347,7,65.741,5.41556721801467,0.159693432847017,86189951997.3118,744.702789740042,5.48664147824387,15.8096321719344,28.8152939292608,7.93996502525176,20.8753289040091,2.77536541538477,61.8104146305182,36.2199307720652,5.50373971369559,9.20441363031239,0.73088509,45.7555776,43.5958009,39.21469,"Low income","High","Low","High","High","Low","High"
"FIN",2019,"Europe & Central Asia","Finland",303930,7.38656927582009,5521606,0.110191690491055,27.2568785641686,72.7431214358314,8.3,1.35,7,81.9829268292683,35.5470495181139,7.99426833424913,253433824168.6,45898.5708448954,1.23812097519217,1.02409392963431,80.5641502947367,40.6183181143561,39.9458321803805,6.09707710249334,3.67175341585656,129.487723024493,0.365206984679912,23.479988931653,7.39612961,82.9390103,93.2567225,92.0742328,"High income","Low","High","Low","Low","High","Low"
"FJI",2019,"East Asia & Pacific","Fiji",18270,4.14887794198139,914899,-0.24900685817593,43.29010447743,56.70989552257,19.226,2.385,6,67.009,8.87910380323419,1.76959423936413,5215934664.43218,5701.10434532357,-0.334080345193271,1.79388647514555,110.696192117501,50.6482147032588,60.0479774142425,6.02971795135456,38.220505067473,112.580732955222,1.15438142466978,21.8331875535849,2.64242482,77.6492708,58.0490535,61.667764,"Upper middle income","High","Low","Low","Low","High","High"
"FRA",2019,"Europe & Central Asia","France",538950,33.2921152240468,67382061,0.332559129027963,21.3109215450644,78.6890784549356,11.2,1.86,6,82.8268292682927,32.9295024945655,4.79214044818249,2608036638906.12,38705.2072940618,1.68870844116209,1.10825492288294,66.4289607281749,32.8895429451147,33.5394177830602,1.96486943301562,2.51529494034492,109.600780374596,0.0337878193709454,23.5183661191968,8.33091736,69.3801876,77.3579292,75.4248136,"High income","Low","High","Low","High","Low","Low"
"FRO",2019,"Europe & Central Asia","Faroe Islands",1396,0.0472779369627507,51790,1.54302729710577,61.6054344177246,38.3945655822754,13.3,2.4187,NA,82.3912829268293,28.3722824384437,0.0405483684108901,2901879820.04399,56031.6628701293,2.93783373419572,NA,108.623245950251,55.7697162765718,52.853529673679,NA,NA,106.012499517766,0,27.6094430648189,NA,NA,NA,NA,"High income","High","Low","High","High","High",NA
"FSM",2019,"East Asia & Pacific","Micronesia, Fed. Sts.",700,2.85714285714286,110282,0.338797095962346,77.640754222919,22.359245777081,22.891,2.883,6,66.196,7.67760758570387,0.0018135325801128,335596638.655462,3043.07718989012,3.29317692508138,1.92385170787923,106.582278481013,35.4430379746835,71.1392405063291,NA,NA,20.8556246712972,0.0147433271606052,NA,1.74894965,83.1362703,60.7820409,63.625007,"Upper middle income","High","Low","Low","High","High",NA
"GAB",2019,"Sub-Saharan Africa","Gabon",257670,1.26130321729344,2267706,2.47279132038176,10.0968149829606,89.9031850170394,30.146,3.884,6,67.337,6.7406838286423,2.49273935862938,15460241661.1259,6817.56879468764,1.38257599119697,2.46456756151187,73.4280894486644,51.4310732271996,21.9970162214648,9.20409837955739,30,131.975264871196,19.1754988018892,10.9934292922959,1.66963005,61.1017813,42.0629623,31.267904,"Upper middle income","Low","High","High","Low","High","High"
"GBR",2019,"Europe & Central Asia","United Kingdom",241930,25.1543768858761,66628000,0.513111008030604,17.3300579261087,82.6699420738913,10.645,1.632,5,81.3691219512195,29.0585514724992,5.38832172660143,3189276748351.15,47866.9140354078,0.738072456841849,1.73810460086513,65.0035664177054,31.9028602803155,33.1007061373899,0.688204352262878,1.08545574617502,120.250108782533,0.540491129160741,18.8950896176188,7.95685244,75.5992994,81.7218803,83.6302925,"High income","Low","High","Low","Low","Low","Low"
"GEO",2019,"Europe & Central Asia","Georgia",69490,4.41790185638221,3720161,-0.171565740223868,41.3695908219657,58.6304091780343,13.588,2.021,6,74.165,22.8003267728678,3.20488817553864,18510819818.4957,4975.81148194814,5.56167165873158,4.85289821696723,117.810080239714,54.3043084100873,63.5057718296264,7.92523222582948,41.1418446285733,141.755414275788,0.603605792551493,13.1442836745365,2.69142175,63.5922889,60.6553237,64.9310961,"Upper middle income","High","Low","Low","High","High","High"
"GHA",2019,"Sub-Saharan Africa","Ghana",227533,20.487768807162,31258945,2.00780519953703,44.2753720890839,55.7246279109161,27.891,3.593,6,64.455,5.82321219444882,0.648665525979844,62503939826.8611,1999.55372220211,4.39063133478864,7.14364003330857,76.824802732152,37.4495998625311,39.3752028696209,5.67619931009197,37.6580356214864,130.70523333401,9.76736656039863,7.04320381025923,1.9720608,66.1232816,58.9906253,45.8418959,"Lower middle income","High","Low","High","High","High","High"
"GIB",2019,"Europe & Central Asia","Gibraltar",10,NA,35494,1.81957598739227,0,100,11.975,1.912,5,83.183,27.1144169765916,20.2118667943878,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.208035160872,NA,NA,NA,NA,NA,NA,"High income","Low","High","High",NA,NA,NA
"GIN",2019,"Sub-Saharan Africa","Guinea",245720,20.0183118997233,13034346,2.56100451729991,63.8718452453613,36.1281547546387,35.952,4.576,7,59.379,6.38550878881132,0.369331917381969,12075307751.6835,926.42221954853,2.9464024435663,9.47001039253012,78.4153132285974,35.0420493356329,43.3732638929645,0.330286821832839,48.2673703892797,98.7621473298315,4.65794341633325,15.402325246451,0.92095226,51.2403992,38.3218373,29.1689419,"Lower middle income","High","Low","High","High","High","High"
"GMB",2019,"Sub-Saharan Africa","Gambia, The",10120,43.4782608695652,2456844,2.35622071960344,38.356789150393,61.643210849607,31.921,4.33,7,64.427,4.94905526129721,0.189267206220664,1677527292.27233,682.797642940426,3.74848295956672,7.11567625631192,55.9979116186993,20.1658912380486,35.8320203806507,3.9194379121789,28.4343309883713,105.204644657943,2.81390983977653,8.24288423463265,1.28750503,67.0539043,49.339393,40.9389611,"Low income","Low","High","High","High","Low","High"
"GNB",2019,"Sub-Saharan Africa","Guinea-Bissau",28120,13.0495448079659,1967696,2.34095994762157,56.1254425048828,43.8745574951172,31.848,4.153,6,62.161,5.31838647098745,0.181227181434531,1389780856.97486,706.298562874985,2.89045755858285,0.24660026814783,49.943905496502,18.2810341557162,31.6628713407858,4.48928839147048,64.3813975386937,80.8245277725828,9.94740073583492,18.6977168253202,0.45877996,57.9713799,37.2769205,16.9242992,"Low income","High","Low","High","High","Low","High"
"GNQ",2019,"Sub-Saharan Africa","Equatorial Guinea",28050,1.88948306595365,1670177,3.271454421427,29.8824580452707,70.1175419547293,31.783,4.429,7,62.297,5.87510132569272,3.0669803260373,10051326714.9325,6018.12066321865,-8.52391282041842,1.53027528964189,94.8787924253545,51.1307495482003,43.7480428771542,7.22811929659373,55.8356005729206,36.942192354463,25.4372801609757,25.4606719871873,0.8050639,60.0851443,29.6261966,17.1318762,"Upper middle income","Low","High","High","Low","High","High"
"GRC",2019,"Europe & Central Asia","Greece",128900,16.5113157486424,10721582,-0.105339392724138,21.8111899533125,78.1888100466875,7.8,1.34,6,81.6390243902439,34.8041078249776,5.7354129269356,206033167050.895,19216.6759579785,2.38497557963629,0.253007522038157,80.5900949510457,39.5602885530263,41.0298063980194,2.41172201156202,11.1507282816022,110.855033355177,0.0704760678864166,20.0269892386223,3.95904088,70.6590444,63.5706981,54.0093632,"High income","Low","High","Low","High","High","Low"
"GRD",2019,"Latin America & Caribbean","Grenada",340,8.82352941176471,115981,0.250354079448358,63.8653534320096,36.1346465679904,12.466,1.542,5,74.971,15.8126861415626,1.55542718203844,1134939081.03144,9785.56040240592,0.424779227477273,0.598149764736022,NA,NA,NA,17.1914579677146,NA,100.175028668489,0,NA,2.04134059,81.5566579,63.6860872,55.5064089,"Upper middle income","High","Low","Low","Low",NA,NA
"GRL",2019,"Europe & Central Asia","Greenland",410450,NA,56225,0.359917714454119,12.9782104492188,87.0217895507812,15.1,2.115,NA,71.4092682926829,12.1620600166293,9.31791907514451,2708402650.63237,48170.7896955512,2.46273159433217,NA,92.1907515607492,41.0427004962382,51.148051064511,NA,NA,109.935097353969,0,43.7935208900272,NA,95.939297,84.9836682,70.3988183,"High income","Low","High","Low","High","High",NA
"GTM",2019,"Latin America & Caribbean","Guatemala",107160,14.3523702874207,17103803,1.52062955252943,45.8117732732026,54.1882267267974,23.089,2.593,7,71.639,7.30418232637222,1.14962736649855,70794728365.1131,4139.12206338632,2.44813678390565,3.69998398008605,45.5167341849579,17.6119727745274,27.9047614104306,1.51707073546928,31.0846578149197,122.043793418341,1.14790981503494,11.1070027627273,2.37253165,54.0326157,39.6565997,27.5352234,"Upper middle income","High","Low","High","High","Low","High"
"GUM",2019,"East Asia & Pacific","Guam",540,1.85185185185185,161808,-0.536848682318792,5.92001975010611,94.0799802498939,19.256,2.938,6,76.645,16.1657189277011,0.00247206565806388,5959409099.18107,36830.1264410973,3.07547868580322,NA,78.0645161290323,22.2501966955153,55.8143194335169,NA,1.82416774995761,NA,0,NA,NA,82.037867,81.472017,71.7090468,"High income","Low","High","Low","High","High","Low"
"GUY",2019,"Latin America & Caribbean","Guyana",196850,0.492760985521971,807665,2.0146740033225,73.5741165226942,26.4258834773058,21.945,2.521,6,69.067,8.92855440727629,3.45861217212582,5071030135.73162,6278.63054079553,3.25156178245531,2.11238986774464,NA,NA,NA,51.9994680084664,15.2981983446759,96.327066296051,5.96249594118667,NA,2.90384364,64.8797001,49.3874005,42.975976,"High income","High","Low","High","High",NA,"Low"
"HKG",2019,"East Asia & Pacific","Hong Kong SAR, China",1050,2.85714285714286,7507900,0.739283471323064,0,100,7,1.064,6,85.1558536585366,25.4413059333564,5.79498927796055,331813698522.682,44195.2741142906,-2.39666775385065,2.88320853773996,353.743521139731,177.651315174364,176.092205965367,16.0571325877868,0.205572640546107,286.618647834243,0.000885726237364786,10.8764361048878,NA,62.7459691,79.9523997,83.057951,"High income","Low","High","Low","Low","High","Low"
"HND",2019,"Latin America & Caribbean","Honduras",111890,9.09822146751274,9943633,1.81063773761993,43.6208438610234,56.3791561389766,23.111,2.611,6,72.124,6.12853458543412,1.02100509944404,24338200129.3672,2447.61649282181,0.71936151617345,4.36587159819274,99.4595352452417,40.2185209903792,59.2410142548624,3.83846408231678,22.5219034960644,76.0268304351136,0.916855208806467,13.879034545863,2.89673924,51.7655593,38.4368702,26.4344138,"Lower middle income","High","Low","High","Low","High","High"
"HRV",2019,"Europe & Central Asia","Croatia",55964,14.7058823529412,3949390,-0.992302961069294,43.696752041694,56.303247958306,9.1,1.47,7,78.2243902439024,32.9516011246356,4.5506268056586,57826469010.6323,14641.8735578488,4.13065464683689,0.771820346498112,101.395111645358,50.4917495355699,50.9033621097876,6.47280555618669,6.10427260181352,110.493802074789,0.619466125649912,21.6952609915128,5.53433323,78.6648898,62.3003726,48.3603618,"High income","High","Low","Low","High","High","Low"
"HTI",2019,"Latin America & Caribbean","Haiti",27560,36.2844702467344,11105163,1.29423660619831,47.9930940047525,52.0069059952475,23.774,2.862,6,64.328,6.97061311602081,0.323714293972993,15485274058.243,1394.42114071112,-2.98683711868885,18.7037825672506,44.5687187758294,10.5576734334849,34.0110453423444,0.499464210439719,45.165510614367,61.6234088594647,0.443318678876138,7.19135114705545,0.40745705,49.6502252,36.6340886,18.2530082,"Lower middle income","High","Low","High","Low","Low","High"
"HUN",2019,"Europe & Central Asia","Hungary",91260,47.3044049967127,9694824,-0.125143121699401,29.5434722900391,70.4565277099609,9.6,1.58,7,76.3195121951219,29.77020722,5.31240175169761,148241697677.304,15290.8085466331,5.2087641343076,3.33858635382008,159.925556464831,81.065700696964,78.8598557678669,59.5775493833952,4.73233560479278,105.141557934591,0.303895061476493,19.968827606623,4.26813841,78.4086402,62.2675157,49.570419,"High income","Low","High","Low","High","High","Low"
"IDN",2019,"East Asia & Pacific","Indonesia",1877519,9.48437251500517,272489381,0.935604959235128,44.2617950439453,55.7382049560547,16.909,2.205,7,70.349,9.61947648774002,2.33979466524606,1049330233997.45,3850.90321738979,4.0413041818536,3.03058460941661,37.6277775357108,18.5915277970883,19.0362497386225,2.23336204282241,28.4631336137713,125.244348145809,3.23583967668836,8.80847129067065,1.39791656,55.9824787,53.6607218,39.1944788,"Upper middle income","High","Low","Low","High","Low","High"
"IMN",2019,"Europe & Central Asia","Isle of Man",570,42.1052631578947,83957,0.181209143421298,47.8210101752422,52.1789898247578,8.826,1.606,NA,80.74,34.2690788105635,NA,7985161906.36243,95110.1385990737,0.0733713448695283,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"High income","High","Low","Low","Low",NA,NA
"IND",2019,"South Asia","India",2973190,52.2566670814849,1389030312,1.04001395098104,66.1860421181853,33.8139578818147,17.368,2.12,6,70.746,9.2965077293909,1.83688223212799,2689205295885.26,1936.03067741063,2.79675759966057,3.72950573539123,39.9054035306442,18.664264897257,21.2411386333872,1.78482633957161,40.6518149993227,82.898144918237,2.01224538396897,11.0026755133718,1.03550148,55.8082856,56.6186668,43.4354345,"Lower middle income","High","Low","Low","High","Low","High"
"IRL",2019,"Europe & Central Asia","Ireland",68890,6.43054144287995,4976456,1.58865409604595,36.7262990845873,63.2737009154127,11.9,1.69,5,82.7024390243903,21.798268341024,7.30821291296457,380627401462.693,76485.635854651,3.31840085150145,0.937842961189274,257.652772910421,131.224509342169,126.428263568252,7.67467578422042,4.42881782518225,104.597515228061,0.0671703776701016,11.7807140950215,4.8862195,81.9665496,83.4862527,78.6004371,"High income","Low","High","High","High","High","Low"
"IRN",2019,"Middle East & North Africa","Iran, Islamic Rep.",1622500,9.6271186440678,87051648,1.07831720901251,24.7961120605469,75.2038879394531,14.918,1.766,6,76.855,10.1576571036537,8.18571981543646,431119516583.705,4952.45669081078,-3.40863263146464,39.9073455697784,48.5917712137038,22.3147082096412,26.2770630040625,0.433347777066285,16.3333671412063,135.622267599115,27.8006661533715,14.8711446390003,2.74998093,44.4465189,38.8293982,27.77613,"Upper middle income","Low","High","High","Low","Low","Low"
"IRQ",2019,"Middle East & North Africa","Iraq",434130,11.4458802662797,41192171,2.27501115691232,30.1316604614258,69.8683395385742,27.252,3.48,6,71.245,5.74191752583558,4.70108992313127,201765390231.117,4898.14897668582,3.14043943608276,-0.198965380023882,68.9899384202806,38.0518681988838,30.9380702213968,-1.31640616709339,8.52954667554379,90.3685290100393,40.609902398822,19.3153864358706,2.07680917,27.926688,33.3158272,18.6396013,"Upper middle income","Low","High","High","High","Low","Low"
"ISL",2019,"Europe & Central Asia","Iceland",100830,1.20003967073292,360563,2.19893225826166,6.0229152583869,93.9770847416131,12.3,1.74,6,83.1634146341463,21.3971787497354,8.81066554249882,20594942209.8705,57118.8452777198,-1.06147505075413,3.01397179156061,83.7923659518443,44.7138622775299,39.0785036743144,-2.22712995709055,4.03613668687776,114.623232603271,0.000108843842062041,24.8087103441744,7.16506433,92.4804694,87.0266527,84.8176387,"High income","Low","High","High","Low","High","Low"
"ISR",2019,"Middle East & North Africa","Israel",21640,17.4676524953789,9054000,1.90898263957994,8.3845997997348,91.6154002002652,20.1,3.01,6,82.8048780487805,19.8124532127233,7.21388336646786,356021732427.035,39322.038041422,1.62043641627767,0.817645940292794,56.5281618447823,29.0853955837603,27.442766261022,4.34923898223678,0.920851321319169,135.143345507015,0.189655855195189,22.249340873642,4.67124081,58.4448733,73.2999655,64.07143,"High income","Low","High","High","Low","Low","Low"
"ITA",2019,"Europe & Central Asia","Italy",295717,23.3810805601301,59729081,-0.247712826621699,30.4949989318847,69.5050010681153,7,1.27,6,83.4975609756098,36.1726489982207,5.56784056329278,1922107755078.16,32180.4341017428,0.678246830552865,0.611246943765304,58.6941902594738,30.9498739181942,27.7443163412796,1.77066894209208,3.87830880419639,132.181234381376,0.0824926231070219,18.6874454981379,6.31018782,71.4003499,66.0800324,53.5807568,"High income","Low","High","Low","Low","Low","Low"
"JAM",2019,"Latin America & Caribbean","Jamaica",10830,11.0803324099723,2823271,0.112486030848061,43.3042042604926,56.6957957395074,12.169,1.39,6,71.532,9.6605548682956,2.98926316318908,16416735750.8852,5814.79275311692,1.69497447065874,3.90510000865872,NA,NA,NA,3.90817004443178,15.2306387135388,107.105304450051,0.364234398807819,NA,3.97861576,68.9525634,54.0303251,46.5657717,"Upper middle income","High","Low","Low","High",NA,"Low"
"JOR",2019,"Middle East & North Africa","Jordan",88794,2.41908237043043,10671891,1.98343822476301,8.484033507493,91.515966492507,22.236,2.855,6,76.865,6.00093286540193,2.18238735759201,46036487855.985,4313.80791426608,-0.144023848563009,0.761514047265601,NA,NA,NA,1.50023479065386,3.35614007541066,72.8902684631993,0.0428576620025569,NA,3.03746152,61.0324608,59.314202,49.6648882,"Upper middle income","Low","High","High","Low",NA,"Low"
"JPN",2019,"East Asia & Pacific","Japan",364500,11.3141289437586,126633000,-0.140464977878172,8.2835792101893,91.7164207898107,7,1.36,6,84.3563414634146,48.5194993042234,8.87456666113888,4664812538574.46,36837.2583653113,-0.168366879621402,0.46877615938395,34.3582972799989,17.0377974181499,17.320499861849,0.761769170240795,3.37543887644299,147.209910756974,0.0932286615908601,19.4451575446193,9.2108326,84.9598388,82.987206,76.8716644,"High income","Low","High","Low","Low","Low","Low"
"KAZ",2019,"Europe & Central Asia","Kazakhstan",2699700,10.8820609697374,19209555,1.45157995956237,40.9167525730454,59.0832474269546,21.424,2.89,7,73.658,11.7790269663408,11.3909406022159,211106940610.612,10989.6840718388,2.99405538115775,5.33356098916669,64.8586165517565,36.4389870990994,28.419629452657,2.05367649290766,13.7617849437852,133.879728083238,17.9259738525419,9.13216157597614,1.72108889,62.1182664,49.5474101,43.6609232,"Upper middle income","High","Low","High","High","Low","Low"
"KEN",2019,"Sub-Saharan Africa","Kenya",578920.25,11.4560838042891,51202827,1.96381549826771,68.8104433578865,31.1895566421135,28.226,3.433,6,62.939,4.78684442513126,0.380387200105182,84264984851.3549,1645.70961777862,3.07004769448449,5.23963795764792,31.759461841481,11.4279956869332,20.3314661545478,0.468168547481475,49.7343373997981,106.547822056778,1.22718421158535,12.1707972873275,2.00870633,47.5288168,47.3437741,31.4670524,"Lower middle income","High","Low","High","High","Low","High"
"KGZ",2019,"Europe & Central Asia","Kyrgyz Republic",191800,6.71220020855057,6590211,2.24236415055009,65.1194794241956,34.8805205758044,26.9,3.3,7,71.6,8.31582010095524,1.55180160392437,7920623120.2686,1201.87701429721,2.28120088774463,1.13362257718804,94.4302823542939,33.4764696600324,60.9538126942615,4.3096066288398,16.356757524542,132.776694304851,7.24320231053747,15.700980649991,2.18779993,62.3615904,44.2554734,27.9641091,"Lower middle income","High","Low","High","High","High","Low"
"KHM",2019,"East Asia & Pacific","Cambodia",176520,23.0038284613642,16481304,1.26258301009769,60.4169758743974,39.5830241256026,22.988,2.725,6,70.127,8.31672836868017,0.953249815669925,33099747942.811,2008.32094006706,6.58272364852731,1.94257500833107,115.736679072448,55.4468679729119,60.289811099536,9.98500044202808,39.8680962570644,129.957441474291,0.714485690319546,4.8093386379996,1.22948682,62.5885672,37.5048848,20.7533478,"Lower middle income","High","Low","High","High","High","High"
"KIR",2019,"East Asia & Pacific","Kiribati",810,2.46913580246914,123921,1.4934933399344,43.7153272854511,56.2846727145489,27.826,3.29,6,65.866,6.38466832548044,0.614100919133964,227323938.826829,1834.42627824847,1.77977627382882,-1.81307995302947,98.3565819131955,14.9888877146964,83.367694198499,-0.257400772595406,NA,44.1071327700713,0.0427412418710569,62.0937927376099,9.23076916,84.6713442,67.0075241,54.9495562,"Lower middle income","High","Low","High","High","High",NA
"KNA",2019,"Latin America & Caribbean","St. Kitts and Nevis",260,19.2307692307692,46952,-0.119199673543347,68.5878181607715,31.4121818392285,12.86,1.568,5,71.54,12.4862665914422,2.77304481172261,1046924638.78381,22297.7644995701,3.06102179372833,-0.329562063663977,NA,NA,NA,5.63784923158187,NA,138.916340092009,0,NA,2.55811405,77.2481607,67.8629752,54.4171735,"High income","High","Low","Low","High",NA,NA
"KOR",2019,"East Asia & Pacific","Korea, Rep.",97600,13.9754098360656,51764822,0.347874968577526,18.7098936464381,81.2901063535619,5.9,0.918,6,83.2268292682927,20.7697470386564,12.6531894575046,1733930596323.25,33496.3113815643,1.95849636720857,0.383000303608136,71.4470632403511,37.0413266370488,34.4057366033023,0.550202642546341,5.14298764562853,133.079790493891,0.121453005220381,16.06298714056,4.43231916,80.490315,76.0778177,60.2693169,"High income","Low","High","Low","High","High","Low"
"KWT",2019,"Middle East & North Africa","Kuwait",17820,0.448933782267116,4442316,2.71071332448015,0,100,12.06,2.082,6,81.969756097561,4.76550252945172,21.7968059903888,118077765349.788,26580.2264741607,-0.471027490632153,1.09184802655856,91.6857123895953,52.0582560763879,39.6274563132075,0.366059041832984,2.03916813289584,164.941648203568,39.8386703389064,24.4026499843359,4.56783867,70.0978967,58.1044823,45.1303189,"High income","Low","High","High","Low","High","Low"
"LAO",2019,"East Asia & Pacific","Lao PDR",230800,5.61351819757366,7237636,1.52576304616693,64.0927119120549,35.9072880879451,23.151,2.589,6,67.911,6.5373787046973,2.67630204116372,18491844275.7106,2554.95638019245,3.86091278109465,3.32255881256925,NA,NA,NA,4.03149139231071,69.3587576077181,64.0668582946144,3.10453941803438,NA,0.96142328,72.0130362,40.7135795,25.4876444,"Lower middle income","High","Low","High","High",NA,"High"
"LBN",2019,"Middle East & North Africa","Lebanon",10230,13.2258064516129,5794594,-3.21837128976045,10.5013256478497,89.4986743521503,17.622,2.327,6,78.208,13.867380966529,4.66025747446672,46727888410.6848,8064.04873416236,-3.87037166908469,3.00538949390383,62.98091601016,20.6977589567577,42.2831570534023,3.69413245000342,3.56322384711598,73.1364785867655,0.00131340504601898,15.6297834775773,4.28126144,43.00695,42.1558502,22.9844669,"Lower middle income","Low","High","Low","Low","Low","Low"
"LBR",2019,"Sub-Saharan Africa","Liberia",96320,5.19102990033223,5043721,1.98225492944197,47.14473773553,52.85526226447,32.431,4.257,6,61.232,5.82889173295316,0.20014984968439,3211334057.92828,636.699384824869,-4.38160849244818,26.9662760197878,NA,NA,NA,2.61121194879185,41.3300349708652,38.4041861157665,14.2604895547102,NA,1.3562839,61.5011116,41.9799431,27.7934547,"Low income","High","Low","High","Low",NA,"High"
"LBY",2019,"Middle East & North Africa","Libya",1759540,0.977528217602328,6951033,1.47795950725002,12.1779884790658,87.8220115209342,19.241,2.539,6,72.941,7.0619730215132,8.26849764632106,60949510655.8708,8768.4104874586,-12.4989174222368,-2.16217883470591,78.9939691850138,42.35532240076,36.6386467842538,NA,10.6903457965215,164.00440049702,34.4990280272661,43.6144615638812,3.95533991,27.3077464,29.0596443,16.5504948,"Upper middle income","Low","High","High","Low","High","Low"
"LCA",2019,"Latin America & Caribbean","St. Lucia",610,4.37704918032787,177661,0.3631466895222,75.7523025341618,24.2476974658382,11.853,1.424,5,72.249,11.7782891974685,1.65877710921361,1968119316.49773,11077.9479823807,-1.38812466794819,0.539087559191757,NA,NA,NA,3.6127905089311,9.97268414242584,83.1865181441059,0.0105301058741755,NA,2.07973409,80.7603205,68.4412101,57.4607533,"Upper middle income","High","Low","Low","Low",NA,"Low"
"LIE",2019,"Europe & Central Asia","Liechtenstein",160,10.8125,38563,0.825428790511035,85.3929169994049,14.6070830005951,9.2,1.48,7,84.1609756097561,27.2530446549391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.214360041623,0.00179668932945333,NA,3.76001668,93.9613195,85.0512512,88.7489637,"High income","High","Low","Low",NA,NA,NA
"LKA",2019,"South Asia","Sri Lanka",61864.47,22.1706061653805,21803000,0.611875945764341,80.5053673581563,19.4946326418437,14.6,2.022,5,76.698,15.7275340756216,1.09952758794661,97149412501.4789,4455.78188788143,-0.829146715016009,3.52839358231811,49.4255238852768,21.8235309246323,27.6019929606444,0.835367460265196,25.3271996274154,126.514451763616,0.0722571812304566,8.97254856467492,1.73423195,62.9256436,55.6205441,44.5365376,"Upper middle income","High","Low","Low","Low","Low","High"
